Job,Task Characteristic,Column,Value
Broadcast Announcers and Radio Disc Jockeys,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Cutting and Slicing Machine Setters, Operators, and Tenders",Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Pharmacy Technicians,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Childcare Workers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Gambling Change Persons and Booth Cashiers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,4
"Credit Authorizers, Checkers, and Clerks",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Waiters and Waitresses,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Remote Sensing Scientists and Technologists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Sustainability Specialists,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
"Family and Consumer Sciences Teachers, Postsecondary",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Marine Engineers and Naval Architects,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Educational, Guidance, and Career Counselors and Advisors",Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Occupational Health and Safety Technicians,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Physician Assistants,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Nuclear Engineers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,5
Probation Officers and Correctional Treatment Specialists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Veterinarians,Work-Methods Autonomy,Work Context - Interpersonal Relationships,7
Animal Trainers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",Work-Methods Autonomy,Work Activities - Interacting with Others,4
Stationary Engineers and Boiler Operators,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Parts Salespersons,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Chemical Technicians,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Physical Therapist Assistants,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",Work-Methods Autonomy,Work Context - Interpersonal Relationships,4
Industrial Machinery Mechanics,Work-Methods Autonomy,Work Context - Structural Job Charateristics,5
Nanosystems Engineers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Software Quality Assurance Analysts and Testers,Work-Methods Autonomy,Work Activities - Interacting with Others,5
Lawyers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Solar Energy Systems Engineers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,5
Food Scientists and Technologists,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Medical Appliance Technicians,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Work-Methods Autonomy,Work Context - Structural Job Charateristics,5
"Health Specialties Teachers, Postsecondary",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
"Judges, Magistrate Judges, and Magistrates",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Aerospace Engineers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Aviation Inspectors,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Detectives and Criminal Investigators,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Art Therapists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Midwives,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Elevator and Escalator Installers and Repairers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Locksmiths and Safe Repairers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Maintenance and Repair Workers, General",Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Railroad Conductors and Yardmasters,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
"Shipping, Receiving, and Inventory Clerks",Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Dental Laboratory Technicians,Work-Methods Autonomy,Work Context - Structural Job Charateristics,5
"Earth Drillers, Except Oil and Gas",Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Food Science Technicians,Work-Methods Autonomy,Work Context - Structural Job Charateristics,5
Parking Enforcement Workers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,5
Cytogenetic Technologists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,5
Transit and Railroad Police,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Mechanical Door Repairers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Computer Programmers,Work-Methods Autonomy,Work Activities - Interacting with Others,5
Astronomers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Animal Scientists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Advertising and Promotions Managers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
"Communications Teachers, Postsecondary",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Agricultural Technicians,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Occupational Therapists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Personal Financial Advisors,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Embalmers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
"Floor Layers, Except Carpet, Wood, and Hard Tiles",Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Opticians, Dispensing",Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Electrical Power-Line Installers and Repairers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Obstetricians and Gynecologists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
"Production, Planning, and Expediting Clerks",Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Drywall and Ceiling Tile Installers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Flight Attendants,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
General Internal Medicine Physicians,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Magnetic Resonance Imaging Technologists,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Aerospace Engineering and Operations Technologists and Technicians,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
"Farmworkers, Farm, Ranch, and Aquacultural Animals",Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Statistical Assistants,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Exercise Physiologists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Music Therapists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Self-Enrichment Teachers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Transportation Security Screeners,Work-Methods Autonomy,Work Activities - Interacting with Others,4
Dining Room and Cafeteria Attendants and Bartender Helpers,Work-Methods Autonomy,Work Activities - Interacting with Others,4
Ophthalmic Medical Technicians,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Radiologic Technologists and Technicians,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Psychiatrists,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Loan Officers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",Work-Methods Autonomy,Work Activities - Interacting with Others,4
"Paper Goods Machine Setters, Operators, and Tenders",Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Cashiers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Traffic Technicians,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Computer Network Architects,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Validation Engineers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Climate Change Policy Analysts,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Database Architects,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Electrical Engineers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Electrical and Electronic Engineering Technologists and Technicians,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Fish and Game Wardens,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Librarians and Media Collections Specialists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
"Physics Teachers, Postsecondary",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Ship Engineers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Work-Methods Autonomy,Work Context - Structural Job Charateristics,5
Dishwashers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Work-Methods Autonomy,Work Context - Structural Job Charateristics,5
Adhesive Bonding Machine Operators and Tenders,Work-Methods Autonomy,Work Context - Structural Job Charateristics,5
Baggage Porters and Bellhops,Work-Methods Autonomy,Work Context - Structural Job Charateristics,5
Diagnostic Medical Sonographers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Electrical and Electronic Equipment Assemblers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Tire Repairers and Changers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Work-Methods Autonomy,Work Context - Interpersonal Relationships,4
Tire Builders,Work-Methods Autonomy,Work Activities - Interacting with Others cont.,4
Print Binding and Finishing Workers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,5
Shampooers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Furniture Finishers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,4
Helpers--Carpenters,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Gas Compressor and Gas Pumping Station Operators,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Packaging and Filling Machine Operators and Tenders,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Physicists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Structural Iron and Steel Workers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Audiologists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Geographic Information Systems Technologists and Technicians,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Surgical Assistants,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Orthoptists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
